team,rating,tempo
Northern Arizona,-2.93,66.9
Oregon St.,-2.94,63.7
Rice,-3.12,69.9
Minnesota,-3.15,65.8
Northwestern St.,-3.29,66.7
George Washington,-3.33,69.0
FIU,-3.43,70.1
Howard,-3.43,69.1
North Dakota St.,-3.49,68.1
South Carolina,-3.51,64.3
Northern Iowa,-3.64,67.7
Northern Colorado,-3.70,69.6
San Diego,-4.05,68.8
Georgetown,-4.14,68.9
La Salle,-4.26,67.8
Sacramento St.,-4.61,62.4
Milwaukee,-4.64,72.0
Mercer,-4.64,64.5
Murray St.,-4.68,66.8
Campbell,-4.80,64.3
North Florida,-4.81,68.0
Wofford,-4.85,65.1
Jacksonville St.,-5.17,65.7
Morehead St.,-5.17,63.4
Western Carolina,-5.22,67.4
Jacksonville,-5.28,61.1
Delaware,-5.36,67.2
Robert Morris,-5.45,66.3
Portland St.,-5.72,72.4
Purdue Fort Wayne,-5.77,69.1
SIU Edwardsville,-5.85,69.2
East Tennessee St.,-6.09,65.8
UT Arlington,-6.10,65.9
Idaho St.,-6.34,65.2
UT Rio Grande Valley,-6.40,72.7
Northern Illinois,-6.42,69.2
Alcorn St.,-6.47,67.4
Winthrop,-6.62,66.9
Canisius,-6.64,67.7
Maryland Eastern Shore,-6.67,69.7
North Alabama,-6.69,68.6
Army,-6.71,68.6
UMBC,-6.82,67.7
Southeast Missouri St.,-6.87,72.5
Loyola Chicago,-7.00,66.2
Rhode Island,-7.08,67.3
Southeastern Louisiana,-7.22,68.7
Niagara,-7.40,63.2
USC Upstate,-7.46,68.0
Bellarmine,-7.85,62.1
Fairfield,-7.99,65.1
Nicholls St.,-8.04,70.5
Dartmouth,-8.14,68.8
California,-8.34,63.5
Western Illinois,-8.35,66.7
Southern Indiana,-8.39,69.3
Miami OH,-8.39,66.8
North Dakota,-8.45,67.2
Lafayette,-8.51,63.0
Boston University,-8.57,65.4
Tennessee Martin,-8.59,71.2
Prairie View A&amp;M,-8.70,67.8
Oakland,-8.70,68.4
UC San Diego,-9.00,66.1
Fairleigh Dickinson,-9.02,68.7
Southern,-9.16,71.0
American,-9.18,62.6
Marist,-9.20,65.6
Maine,-9.24,65.9
Mount St. Mary's,-9.27,65.8
Georgia St.,-9.29,67.0
Louisiana Monroe,-9.32,66.0
Tennessee Tech,-9.40,66.7
Bowling Green,-9.45,69.6
New Hampshire,-9.54,64.2
Lehigh,-9.55,69.5
Illinois St.,-9.57,65.0
Arkansas St.,-9.57,63.4
Tennessee St.,-9.75,71.0
UTSA,-9.93,69.2
Louisville,-10.04,66.5
Valparaiso,-10.18,67.9
Chicago St.,-10.29,64.4
Cal Poly,-10.42,64.2
South Dakota,-10.47,66.0
Coastal Carolina,-10.51,68.4
Cal St. Bakersfield,-10.53,63.2
Denver,-10.75,68.6
Illinois Chicago,-10.83,69.0
Idaho,-10.84,65.9
Jackson St.,-11.04,68.1
High Point,-11.08,71.5
Texas Southern,-11.10,69.3
Bucknell,-11.26,66.8
Charleston Southern,-11.27,65.8
Texas A&amp;M Commerce,-11.29,65.4
Manhattan,-11.36,67.0
Saint Peter's,-11.47,63.0
Alabama A&amp;M,-11.55,68.3
Northeastern,-11.63,66.8
Merrimack,-11.66,66.4
Binghamton,-11.76,66.0
UMKC,-12.01,63.8
Wagner,-12.10,62.1
Morgan St.,-12.29,70.8
Tulsa,-12.30,67.9
Eastern Michigan,-12.74,69.2
Nebraska Omaha,-12.88,67.8
North Carolina A&amp;T,-13.03,70.0
William &amp; Mary,-13.06,65.2
Little Rock,-13.08,71.0
Arkansas Pine Bluff,-13.61,69.6
Western Michigan,-13.72,65.7
Austin Peay,-13.83,64.8
The Citadel,-13.83,67.2
Loyola MD,-14.02,66.1
Sacred Heart,-14.11,69.7
Stony Brook,-14.27,64.1
Cal St. Northridge,-14.43,65.3
NJIT,-14.65,66.3
Stonehill,-14.76,66.3
New Orleans,-15.02,71.4
Central Arkansas,-15.17,72.2
Central Michigan,-15.39,67.2
McNeese St.,-15.55,66.2
Elon,-15.85,66.0
Coppin St.,-16.00,71.5
St. Francis PA,-16.03,68.4
Incarnate Word,-16.05,67.0
Central Connecticut,-16.20,64.4
Lindenwood,-16.37,66.8
Columbia,-16.47,69.5
Holy Cross,-16.70,69.1
Eastern Illinois,-16.82,67.9
South Carolina St.,-17.06,71.6
Presbyterian,-17.20,64.7
Albany,-17.20,67.3
Monmouth,-17.56,68.4
Bethune Cookman,-17.60,69.0
Alabama St.,-17.78,66.0
Hampton,-18.12,69.0
Evansville,-18.50,69.6
Houston Christian,-18.96,70.7
VMI,-19.44,66.7
Mississippi Valley St.,-20.09,67.2
St. Francis NY,-20.12,66.1
Delaware St.,-20.23,67.9
Lamar,-20.45,65.8
Florida A&amp;M,-20.70,65.0
IUPUI,-21.83,67.1
Green Bay,-26.26,65.1
Hartford,-29.22,65.5
LIU,-29.78,72.6
